# Name 	 RA 	 DEC
Kepler-78 b 	 293.7420 	 44.4483
TOI-2445 b 	 43.3162 	 0.0523
TOI-1442 b 	 287.2921 	 74.1743
KOI-4777.01 	 287.2621 	 42.0322
Kepler-42 c 	 292.2196 	 44.6174
LHS 3844 b 	 340.4962 	 -69.1721
TOI-1444 b 	 305.4749 	 70.9437
TOI-431 b 	 83.2693 	 -26.7239
GJ 1252 b 	 306.9286 	 -56.4623
Kepler-1932 b 	 285.3315 	 41.0638
Kepler-990 c 	 297.9382 	 46.8813
Kepler-1566 b 	 283.5875 	 40.5749
Kepler-1873 b 	 294.5966 	 46.0484
Kepler-828 b 	 286.8873 	 42.4712
Kepler-1317 b 	 291.6119 	 42.1160
Kepler-1107 b 	 291.0499 	 39.1417
Kepler-1228 b 	 296.5528 	 46.9662
Kepler-1203 b 	 292.7735 	 44.1781
TOI-1075 b 	 309.9712 	 -65.4497
Kepler-808 b 	 291.5942 	 48.4455
Kepler-1356 b 	 290.9954 	 43.2439
Kepler-1415 b 	 285.1568 	 47.8733
Kepler-607 b 	 291.0571 	 44.6323
Kepler-1520 b 	 290.9662 	 51.5048
Kepler-1259 b 	 297.8415 	 46.9676
Kepler-1284 b 	 291.2790 	 47.6876
Kepler-1340 b 	 296.2328 	 42.4728
TOI-1685 b 	 68.5940 	 43.0370
Kepler-407 b 	 286.0363 	 49.6145
TOI-2109 b 	 253.1863 	 16.5799
K2-396 b 	 74.6929 	 17.2691
Kepler-1368 b 	 294.7670 	 41.6446
Kepler-780 b 	 281.7664 	 44.2925
Kepler-1310 b 	 283.9200 	 40.7400
Kepler-1604 b 	 285.4107 	 44.4122
K2-85 b 	 59.4648 	 18.4650
Kepler-1446 b 	 289.4240 	 46.7261
Kepler-1547 b 	 283.7640 	 42.2221
Kepler-1087 b 	 294.9789 	 46.0057
Kepler-1855 b 	 283.4019 	 41.5162
TOI-206 b 	 73.7382 	 -62.5219
Kepler-1377 b 	 289.1954 	 46.6516
Kepler-32 f 	 297.8423 	 46.5744
Kepler-1067 b 	 285.3874 	 45.0490
Kepler-1409 b 	 290.0847 	 51.2086
TOI-849 b 	 28.7158 	 -29.4217
Kepler-1173 b 	 293.1312 	 45.6634
Kepler-1331 b 	 297.0738 	 41.2245
Kepler-1139 b 	 287.9456 	 39.2305
Kepler-10 b 	 285.6793 	 50.2415
Kepler-1315 b 	 295.8216 	 46.0531
Kepler-1579 b 	 293.2880 	 43.5149
LHS 1678 b 	 68.1790 	 -39.7909
Kepler-1320 b 	 288.4336 	 40.3809
Kepler-1379 b 	 293.6704 	 41.4102
NGTS-6 b 	 75.7954 	 -30.3995
Kepler-732 c 	 283.7317 	 45.9585
Kepler-653 c 	 282.2130 	 46.7178
Kepler-1351 b 	 293.6084 	 42.1979
Kepler-929 b 	 298.4811 	 41.6153
WASP-103 b 	 249.3149 	 7.1834
Kepler-845 b 	 290.9576 	 49.2037
Kepler-787 b 	 291.6925 	 38.5729
Kepler-1323 b 	 292.8723 	 46.0987
Kepler-1039 b 	 298.3266 	 45.3154
Kepler-1338 b 	 284.0423 	 41.6990
Kepler-922 b 	 284.7316 	 49.5331
Kepler-1523 b 	 296.0541 	 45.8270
WASP-18 b 	 24.3545 	 -45.6778
K2-147 b 	 293.8330 	 -28.4985
Kepler-1322 b 	 293.2045 	 45.4354
Kepler-1264 b 	 289.8844 	 45.2115
Kepler-1427 b 	 295.3497 	 45.1145
KELT-16 b 	 314.2685 	 31.6610
Kepler-1559 b 	 292.2867 	 42.0726
Kepler-775 b 	 291.4333 	 41.7033
HIP 65 A b 	 0.1856 	 -54.8308
Kepler-1258 b 	 285.4050 	 49.9948
Kepler-80 f 	 296.1126 	 39.9787
TOI-1634 b 	 56.3906 	 37.1123
Kepler-1589 b 	 294.4418 	 40.5716
Kepler-1167 b 	 298.3027 	 47.6940
Kepler-1561 b 	 296.9236 	 43.5665
HD 213885 b 	 338.9837 	 -59.8648
WTS-2 b 	 293.7328 	 36.8155
Kepler-757 b 	 296.6805 	 41.3865
Kepler-1825 b 	 292.5141 	 42.6518
Kepler-255 d 	 296.0643 	 45.9768
K2-201 b 	 293.5607 	 -23.1313
Kepler-1037 b 	 296.3410 	 47.1709
Kepler-1205 b 	 290.2797 	 41.5150
Kepler-1532 b 	 296.9028 	 41.1981
K2-89 b 	 57.0671 	 20.4595
Kepler-1148 b 	 290.9536 	 45.7196
Kepler-1312 c 	 292.9713 	 41.0357
Kepler-1200 b 	 296.6034 	 44.1293
Kepler-1531 b 	 285.1466 	 39.3708
Kepler-994 b 	 289.0721 	 47.4069
TOI-2196 b 	 312.3401 	 -70.4851
Kepler-763 b 	 292.1446 	 47.1574
Kepler-619 c 	 290.8491 	 48.4160
Kepler-1698 b 	 293.3450 	 39.2577
OGLE-TR-56 b 	 269.1480 	 -29.5392
HAT-P-23 b 	 306.1239 	 16.7621
Kepler-42 b 	 292.2196 	 44.6174
Kepler-1206 b 	 295.9384 	 49.7911
KELT-1 b 	 0.3621 	 39.3838
Kepler-842 b 	 292.3286 	 49.6535
WASP-33 b 	 36.7127 	 37.5504
Kepler-756 b 	 290.6080 	 41.2011
Kepler-1031 b 	 296.0899 	 48.9554
TOI-540 b 	 76.3097 	 -47.9375
Kepler-1106 b 	 291.1452 	 44.0625
K2-31 b 	 245.4406 	 -23.5483
Kepler-656 b 	 288.3279 	 47.3815
Kepler-755 b 	 296.8609 	 41.0973
Kepler-658 b 	 282.9836 	 47.5784
Kepler-1355 b 	 283.7414 	 49.0680
Kepler-1373 b 	 285.7520 	 39.2492
Kepler-1856 b 	 295.9092 	 51.3479
TOI-2427 b 	 52.2917 	 -31.3629
TrES-3 b 	 268.0291 	 37.5463
Kepler-1372 b 	 288.8866 	 44.8395
Kepler-198 d 	 290.6731 	 38.6910
Kepler-908 b 	 295.3225 	 39.3765
Kepler-1339 b 	 283.7458 	 48.3735
HATS-24 b 	 268.8907 	 -61.7474
WASP-77 A b 	 37.1555 	 -7.0607
Kepler-1850 b 	 287.1428 	 43.6161
TOI-824 b 	 222.1655 	 -57.5889
WASP-135 b 	 267.2849 	 29.8790
L 168-9 b 	 350.0286 	 -60.0657
WD 1856+534 b 	 284.4157 	 53.5090
Kepler-1019 b 	 283.7176 	 47.2044
K2-91 b 	 63.2182 	 24.2047
Kepler-1934 b 	 290.9193 	 37.2872
Qatar-1 b 	 303.3819 	 65.1623
WASP-46 b 	 318.7370 	 -55.8719
Kepler-1091 b 	 299.7854 	 43.6707
Kepler-1171 b 	 294.9589 	 38.5916
Kepler-1537 b 	 294.3854 	 43.8254
Kepler-1578 b 	 288.3021 	 47.7756
Kepler-770 c 	 286.4905 	 38.3749
Kepler-1763 b 	 294.1130 	 40.3629
KELT-9 b 	 307.8599 	 39.9389
TrES-5 b 	 305.2219 	 59.4489
Kepler-17 b 	 298.3952 	 47.8150
Kepler-1416 b 	 298.6635 	 43.8941
TOI-2046 b 	 16.1849 	 74.3313
Kepler-304 e 	 294.4418 	 40.5575
Kepler-1613 b 	 289.8750 	 43.4209
Kepler-1075 b 	 287.5011 	 47.4691
Kepler-1650 b 	 297.7292 	 42.8667
Kepler-1565 b 	 297.9530 	 40.8068
Kepler-98 b 	 285.6617 	 37.9646
Kepler-1082 b 	 289.3587 	 50.5984
Kepler-76 b 	 294.1921 	 39.6190
TOI-544 b 	 82.2901 	 -0.3429
Kepler-166 d 	 293.1601 	 48.8812
Kepler-446 b 	 282.2501 	 44.9210
Kepler-1072 b 	 292.0444 	 46.3290
Kepler-1367 b 	 288.4167 	 47.8787
GJ 1214 b 	 258.8314 	 4.9607
Kepler-9 d 	 285.5740 	 38.4008
Kepler-686 b 	 285.2138 	 39.0275
Kepler-1669 c 	 297.4304 	 39.8479
WASP-163 b 	 256.5376 	 -10.4130
Kepler-207 b 	 290.0305 	 42.1661
Kepler-1826 b 	 292.7700 	 48.8998
Kepler-578 b 	 288.7550 	 39.5637
Kepler-256 b 	 292.5804 	 46.0974
Kepler-685 b 	 293.8719 	 38.4229
Kepler-185 b 	 282.4682 	 43.8899
Kepler-1399 b 	 293.3117 	 46.0417
Kepler-342 e 	 292.6780 	 46.7267
Qatar-10 b 	 284.4439 	 69.5708
Kepler-1152 b 	 290.4341 	 44.1078
Kepler-322 b 	 281.3488 	 44.2953
Kepler-323 b 	 291.3823 	 38.1275
Kepler-1297 b 	 289.9564 	 47.0203
Kepler-617 b 	 283.7407 	 47.5161
Kepler-969 c 	 288.3725 	 47.9336
Kepler-412 b 	 286.1103 	 43.6810
Kepler-148 b 	 289.7862 	 46.8588
Kepler-157 b 	 291.0972 	 38.8756
CoRoT-2 b 	 291.7770 	 1.3837
GPX-1 b 	 38.3692 	 56.0257
Wendelstein-2 b 	 297.7909 	 16.9126
Kepler-1153 b 	 289.1472 	 45.8661
KOI-13 b 	 286.9714 	 46.8682
Kepler-1350 c 	 288.2506 	 46.6795
WASP-145 A b 	 322.2538 	 -58.8361
Kepler-312 b 	 298.3958 	 42.4598
WASP-164 b 	 344.8736 	 -60.4478
Kepler-1528 b 	 287.4030 	 46.5740
SWEEPS-11 b 	 269.7583 	 -29.1982
Kepler-286 b 	 290.6762 	 48.2942
Qatar-4 b 	 4.8593 	 44.0276
WASP-76 b 	 26.6329 	 2.7004
HATS-35 b 	 296.6884 	 -63.5656
Kepler-536 b 	 297.7364 	 49.6371
WASP-3 b 	 278.6317 	 35.6614
Kepler-1522 b 	 289.8432 	 52.0702
Kepler-41 b 	 294.5132 	 45.9816
TOI-451 b 	 62.9664 	 -37.9397
Kepler-42 d 	 292.2196 	 44.6174
K2-383 b 	 282.0088 	 -18.3796
Kepler-1352 b 	 290.6938 	 48.7014
Kepler-524 c 	 296.8592 	 49.1620
Kepler-374 b 	 294.1379 	 42.3704
Kepler-554 b 	 296.4069 	 51.3582
HAT-P-61 b 	 75.4802 	 50.1312
TOI-1518 b 	 352.2675 	 67.0348
Kepler-1027 b 	 287.5712 	 42.8138
HATS-9 b 	 290.8102 	 -20.1664
Kepler-1222 b 	 294.8896 	 49.3798
Kepler-932 b 	 296.9521 	 43.2720
Kepler-821 b 	 285.6174 	 39.3795
Kepler-1066 b 	 298.8666 	 46.5022
Kepler-303 b 	 283.1355 	 43.6567
HATS-76 b 	 70.3398 	 -32.3204
LHS 1478 b 	 44.3389 	 76.5514
Kepler-1871 b 	 292.4275 	 38.4729
Kepler-1016 b 	 294.6137 	 45.9846
WASP-50 b 	 43.6881 	 -10.8980
HAT-P-53 b 	 21.8711 	 38.9681
Kepler-1963 b 	 296.5875 	 47.2071
Kepler-975 b 	 290.5485 	 38.4952
Kepler-785 b 	 292.0683 	 38.8422
Kepler-529 b 	 285.8884 	 47.8804
