# Name 	 RA 	 DEC
TOI-2445 b 	 43.3162 	 0.0523
TOI-1442 b 	 287.2921 	 74.1743
LHS 3844 b 	 340.4962 	 -69.1721 # The MIRI target
TOI-1444 b 	 305.4749 	 70.9437
TOI-431 b 	 83.2693 	 -26.7239
GJ 1252 b 	 306.9286 	 -56.4623
TOI-1075 b 	 309.9712 	 -65.4497
TOI-1685 b 	 68.5940 	 43.0370
TOI-2109 b 	 253.1863 	 16.5799
K2-396 b 	 74.6929 	 17.2691
K2-85 b 	 59.4648 	 18.4650
TOI-206 b 	 73.7382 	 -62.5219
TOI-849 b 	 28.7158 	 -29.4217
LHS 1678 b 	 68.1790 	 -39.7909 # super earth
NGTS-6 b 	 75.7954 	 -30.3995
WASP-103 b 	 249.3149 	 7.1834
WASP-18 b 	 24.3545 	 -45.6778
K2-147 b 	 293.8330 	 -28.4985
KELT-16 b 	 314.2685 	 31.6610
HIP 65 A b 	 0.1856 	 -54.8308
TOI-1634 b 	 56.3906 	 37.1123
HD 213885 b 	 338.9837 	 -59.8648
K2-201 b 	 293.5607 	 -23.1313
K2-89 b 	 57.0671 	 20.4595
TOI-2196 b 	 312.3401 	 -70.4851
OGLE-TR-56 b 	 269.1480 	 -29.5392
HAT-P-23 b 	 306.1239 	 16.7621
KELT-1 b 	 0.3621 	 39.3838
WASP-33 b 	 36.7127 	 37.5504 # (!!!) Awesome planet; awesome star. J = 7.6 though (so G395H would be the way to go)
TOI-540 b 	 76.3097 	 -47.9375
K2-31 b 	 245.4406 	 -23.5483
TOI-2427 b 	 52.2917 	 -31.3629
TrES-3 b 	 268.0291 	 37.5463
HATS-24 b 	 268.8907 	 -61.7474
WASP-77 A b 	 37.1555 	 -7.0607
Kepler-1850 b 	 287.1428 	 43.6161
TOI-824 b 	 222.1655 	 -57.5889
WASP-135 b 	 267.2849 	 29.8790
L 168-9 b 	 350.0286 	 -60.0657
WD 1856+534 b 	 284.4157 	 53.5090
Kepler-1019 b 	 283.7176 	 47.2044
K2-91 b 	 63.2182 	 24.2047
Kepler-1934 b 	 290.9193 	 37.2872
Qatar-1 b 	 303.3819 	 65.1623
WASP-46 b 	 318.7370 	 -55.8719
KELT-9 b 	 307.8599 	 39.9389
TrES-5 b 	 305.2219 	 59.4489
TOI-2046 b 	 16.1849 	 74.3313
TOI-544 b 	 82.2901 	 -0.3429
GJ 1214 b 	 258.8314 	 4.9607
WASP-163 b 	 256.5376 	 -10.4130 # A meh HJ
Qatar-10 b 	 284.4439 	 69.5708
CoRoT-2 b 	 291.7770 	 1.3837
GPX-1 b 	 38.3692 	 56.0257
Wendelstein-2 b 	 297.7909 	 16.9126
KOI-13 b 	 286.9714 	 46.8682
WASP-145 A b 	 322.2538 	 -58.8361 # has companion so no
WASP-164 b 	 344.8736 	 -60.4478 # Meh HJ
SWEEPS-11 b 	 269.7583 	 -29.1982
Qatar-4 b 	 4.8593 	 44.0276
WASP-76 b 	 26.6329 	 2.7004
HATS-35 b 	 296.6884 	 -63.5656
WASP-3 b 	 278.6317 	 35.6614
TOI-451 b 	 62.9664 	 -37.9397
K2-383 b 	 282.0088 	 -18.3796
HAT-P-61 b 	 75.4802 	 50.1312
TOI-1518 b 	 352.2675 	 67.0348
HATS-9 b 	 290.8102 	 -20.1664 # Boring HJ
HATS-76 b 	 70.3398 	 -32.3204 # Has companion
LHS 1478 b 	 44.3389 	 76.5514  
WASP-50 b 	 43.6881 	 -10.8980
HAT-P-53 b 	 21.8711 	 38.9681
